time(year,month,day,hh,mm) predicted_track(latitude,longitude)
2005,8,23,21,0 (23.2,-75.5);(24.0,-76.5);(25.0,-77.7);(25.7,-78.5);(26.0,-79.4);(26.3,-81.0);(26.5,-83.5);(27.5,-86.0)
2005,8,24,03,0 (23.4,-76.0);(24.2,-76.7);(25.1,-77.7);(25.7,-78.5);(26.1,-79.5);(26.5,-81.5);(27.0,-83.5);(27.5,-85.5)
2005,8,24,09,0 (24.0,-76.4);(24.7,-77.1);(25.5,-78.0);(25.9,-78.9);(26.1,-80.0);(26.5,-82.0);(27.0,-84.0);(28.0,-86.5)
2005,8,24,15,0 (24.7,-76.7);(25.4,-77.4);(25.9,-78.4);(26.0,-79.2);(26.1,-80.1);(26.3,-82.5);(27.0,-84.5);(29.0,-86.0)
2005,8,24,21,0 (25.6,-77.2);(25.9,-77.8);(26.1,-78.8);(26.2,-79.7);(26.3,-80.7);(26.4,-83.0);(28.0,-85.0);(30.5,-85.0)
2005,8,25,03,0 (26.0,-78.0);(26.0,-78.8);(26.0,-79.5);(26.0,-80.5);(26.3,-81.5);(27.0,-83.0);(29.0,-85.0);(32.0,-84.0)
2005,8,25,09,0 (26.2,-78.7);(26.2,-79.4);(26.3,-80.4);(26.3,-81.4);(26.5,-82.5);(27.5,-84.0);(29.5,-85.0);(33.0,-83.0)
2005,8,25,15,0 (26.2,-79.3);(26.2,-80.0);(26.2,-81.0);(26.3,-82.0);(26.7,-83.0);(28.1,-84.3);(30.5,-84.5);(34.0,-82.0)
2005,8,25,21,0 (26.1,-79.9);(26.1,-80.7);(26.1,-81.7);(26.4,-82.8);(27.0,-83.7);(28.5,-85.0);(31.5,-84.5);(35.0,-81.5)
2005,8,26,03,0 (25.5,-80.7);(25.4,-81.7);(25.5,-83.0);(26.0,-84.0);(26.5,-84.5);(28.5,-85.5);(31.5,-84.5);(37.0,-80.0)
2005,8,26,09,0 (25.3,-81.5);(25.2,-82.6);(25.4,-83.8);(25.9,-84.6);(26.6,-85.4);(28.5,-86.5);(33.0,-84.5);(39.0,-79.0)
2005,8,26,15,0 (25.1,-82.2);(25.2,-83.1);(25.5,-84.3);(26.2,-85.2);(27.1,-85.9);(29.5,-86.3);(34.5,-83.5);(40.5,-77.0)
2005,8,26,21,0 (24.8,-82.9);(24.9,-83.9);(25.2,-85.1);(25.8,-86.4);(26.9,-87.7);(30.0,-88.5);(35.0,-86.5);(40.5,-79.0)
2005,8,27,03,0 (24.6,-83.6);(24.6,-84.6);(25.0,-86.0);(26.0,-87.5);(27.0,-89.0);(30.5,-89.5);(35.0,-87.5);(40.5,-81.0)
2005,8,27,09,0 (24.4,-84.4);(24.5,-85.4);(25.0,-87.0);(26.0,-88.7);(27.4,-89.9);(31.5,-90.0);(36.0,-87.5);(40.0,-82.0)
2005,8,27,15,0 (24.5,-85.0);(24.6,-86.0);(25.3,-87.6);(26.7,-89.0);(28.6,-89.9);(33.0,-89.5);(37.5,-86.0);(41.5,-80.0)
2005,8,27,21,0 (24.6,-85.6);(24.9,-86.8);(25.8,-88.3);(27.5,-89.6);(29.6,-90.0);(34.0,-89.0);(38.5,-85.0);(43.0,-78.5)
2005,8,28,03,0 (25.0,-86.2);(25.4,-87.3);(27.0,-89.0);(29.0,-89.8);(31.0,-89.8);(36.5,-87.0);(41.0,-80.5);(45.5,-71.4)
2005,8,28,06,0 (25.1,-86.8);(25.5,-87.5);(27.0,-89.0);(29.0,-89.8);(31.0,-89.8);(36.5,-87.0);(41.0,-80.5);(45.5,-71.5)
2005,8,28,09,0 (25.4,-87.4);(26.3,-88.4);(28.0,-89.4);(30.0,-89.8);(32.3,-89.3);(37.5,-86.0);(42.0,-79.0);(47.0,-70.0)
2005,8,28,12,0 (25.7,-87.7);(26.3,-88.4);(28.0,-89.4);(30.0,-89.8);(32.3,-89.3);(37.5,-86.0);(42.0,-79.0);(47.0,-70.0)
2005,8,28,15,0 (26.0,-88.1);(27.2,-88.9);(29.1,-89.6);(31.4,-89.5);(34.5,-88.5);(40.0,-84.0);(45.0,-77.0);(52.0,-69.0)
2005,8,28,21,0 (26.9,-89.0);(28.3,-89.8);(30.6,-89.9);(33.4,-89.2);(36.0,-87.5);(41.0,-81.5);(48.0,-72.5)
2005,8,29,03,0 (27.6,-89.4);(29.2,-89.7);(31.8,-89.5);(34.8,-88.1);(37.7,-85.9);(43.5,-78.5);(50.0,-70.0)
2005,8,29,09,0 (28.8,-89.6);(30.6,-89.6);(33.6,-89.0);(36.7,-87.2);(39.8,-84.1);(45.5,-76.5);(51.0,-68.0)
2005,8,29,15,0 (30.2,-89.6);(32.3,-89.3);(35.4,-88.3);(39.0,-86.0);(42.0,-82.5);(47.5,-72.5);(51.5,-67.0)
2005,8,29,21,0 (31.9,-89.6);(34.2,-89.0);(37.2,-87.3);(40.5,-83.4);(44.0,-78.0);(50.0,-70.0);(53.0,-67.0)
2005,8,30,03,0 (33.5,-88.5);(36.3,-87.1);(39.4,-84.1);(42.5,-80.0);(46.0,-73.5);(52.0,-68.5)
2005,8,30,09,0 (34.7,-88.4);(37.2;-86.7);(40.3,-82.8);(43.7,-77.0);(47.5,-71.4);(53.0,-68.5)
2005,8,30,15,0 (36.3,-87.5);(38.5,-85.0);(42.0,-80.5);(45.5,-74.5);(50.0,-71.0);(55.5,-67.0)
