P,I,D,error_avg
0,0,0,2.16011
0,0,0.25,1.77219
0,0,0.5,1.77193
0,0,0.75,1.77166
0,0,1,1.7716
0,0,1.25,1.77148
0,0,1.5,1.77137
0,0,1.75,1.77126
0,0,2,1.77125
0,0,2.25,1.77119
0,0,2.5,1.77113
0,0,2.75,1.77107
0,0,3,1.77101
0,0,3.25,1.771
0,0,3.5,1.77099
0,0,3.75,1.77094
0,0,4,1.77093
0,0,4.25,1.77092
0,0,4.5,1.77091
0,0,4.75,1.77091
0,0.25,0,1.21458
0,0.25,0.25,1.21458
0,0.25,0.5,1.21459
0,0.25,0.75,1.21459
0,0.25,1,1.21459
0,0.25,1.25,1.2146
0,0.25,1.5,1.2146
0,0.25,1.75,1.2146
0,0.25,2,1.2146
0,0.25,2.25,1.21461
0,0.25,2.5,1.21461
0,0.25,2.75,1.21461
0,0.25,3,1.21462
0,0.25,3.25,1.21462
0,0.25,3.5,1.21462
0,0.25,3.75,1.21463
0,0.25,4,1.21463
0,0.25,4.25,1.21463
0,0.25,4.5,1.21464
0,0.25,4.75,1.21464
0,0.5,0,1.21334
0,0.5,0.25,1.21334
0,0.5,0.5,1.21334
0,0.5,0.75,1.21334
0,0.5,1,1.21334
0,0.5,1.25,1.21334
0,0.5,1.5,1.21334
0,0.5,1.75,1.21334
0,0.5,2,1.21334
0,0.5,2.25,1.21334
0,0.5,2.5,1.21334
0,0.5,2.75,1.21334
0,0.5,3,1.21334
0,0.5,3.25,1.21334
0,0.5,3.5,1.21334
0,0.5,3.75,1.21334
0,0.5,4,1.21334
0,0.5,4.25,1.21334
0,0.5,4.5,1.21334
0,0.5,4.75,1.21334
0,0.75,0,1.21324
0,0.75,0.25,1.21324
0,0.75,0.5,1.21324
0,0.75,0.75,1.21324
0,0.75,1,1.21324
0,0.75,1.25,1.21324
0,0.75,1.5,1.21324
0,0.75,1.75,1.21324
0,0.75,2,1.21324
0,0.75,2.25,1.21324
0,0.75,2.5,1.21324
0,0.75,2.75,1.21324
0,0.75,3,1.21324
0,0.75,3.25,1.21324
0,0.75,3.5,1.21324
0,0.75,3.75,1.21324
0,0.75,4,1.21324
0,0.75,4.25,1.21324
0,0.75,4.5,1.21324
0,0.75,4.75,1.21324
0,1,0,1.21322
0,1,0.25,1.21322
0,1,0.5,1.21322
0,1,0.75,1.21322
0,1,1,1.21322
0,1,1.25,1.21322
0,1,1.5,1.21322
0,1,1.75,1.21322
0,1,2,1.21322
0,1,2.25,1.21322
0,1,2.5,1.21322
0,1,2.75,1.21322
0,1,3,1.21322
0,1,3.25,1.21322
0,1,3.5,1.21322
0,1,3.75,1.21321
0,1,4,1.21321
0,1,4.25,1.21321
0,1,4.5,1.21321
0,1,4.75,1.21321
0,1.25,0,1.21321
0,1.25,0.25,1.21321
0,1.25,0.5,1.21321
