P,I,D,error_avg
1.25,0.75,1.25,0.21102
1.5,0.5,1.5,0.210778
1.75,0.25,1.75,0.210629
2,0.25,2,0.210479
2.25,0.25,2.25,0.210342
2.5,0.25,2.5,0.21021
2.75,0.25,2.75,0.210103
3,0,3,0.209999
3.25,0,3.25,0.209894
3.5,0,3.5,0.209802
3.75,0,3.75,0.209728
4,0,4,0.209657
4.25,0,4.25,0.209588
4.5,0,4.5,0.209528
4.75,0,4.75,0.209475
5,0,5,0.209424
5.25,0,5.25,0.209369
5.5,0,5.5,0.209322
5.75,0,5.75,0.209286
6,0,6,0.209252
6.25,0,6.25,0.209203
6.5,0,6.5,0.209167
6.75,0,6.75,0.209133
7,0,7,0.209104
7.25,0,7.25,0.209079
7.5,0,7.5,0.209051
7.75,0,7.75,0.209021
8,0,8,0.208999
8.25,0,8.25,0.208975
8.5,0,8.5,0.208954
