x,y
100,100
100,100
100,100
100,100
99.9999,100
99.9999,100
99.9998,100.001
99.9996,100.001
99.9994,100.002
99.9991,100.004
99.9988,100.005
99.9985,100.007
99.9981,100.01
99.9978,100.012
99.9974,100.015
99.9971,100.019
99.9968,100.022
99.9966,100.025
99.9964,100.029
99.9962,100.033
99.996,100.036
99.9959,100.04
99.9957,100.044
99.9955,100.047
99.9952,100.051
99.9949,100.055
99.9945,100.059
99.994,100.063
99.9935,100.067
99.9929,100.071
99.9922,100.075
99.9916,100.08
99.9909,100.085
99.9902,100.09
99.9895,100.096
99.9889,100.101
99.9883,100.108
99.9878,100.114
99.9874,100.121
99.987,100.128
99.9866,100.135
99.9863,100.143
99.9861,100.15
99.9859,100.158
99.9857,100.166
99.9856,100.174
99.9855,100.182
99.9854,100.19
99.9854,100.198
99.9854,100.206
99.9853,100.215
99.9853,100.223
99.9853,100.231
99.9854,100.24
99.9854,100.249
99.9855,100.257
99.9855,100.266
99.9856,100.275
99.9857,100.283
99.9858,100.292
99.9858,100.301
99.9859,100.31
99.9859,100.318
99.9859,100.327
99.9859,100.336
99.9858,100.345
99.9857,100.353
99.9856,100.362
99.9855,100.371
99.9853,100.38
99.9852,100.388
99.9851,100.397
99.9849,100.406
99.9848,100.415
99.9847,100.424
99.9846,100.433
99.9845,100.442
99.9845,100.451
99.9844,100.46
99.9844,100.469
99.9844,100.478
99.9844,100.486
99.9844,100.495
99.9844,100.504
99.9844,100.513
99.9844,100.522
99.9844,100.531
99.9844,100.54
99.9844,100.549
99.9844,100.558
99.9843,100.567
99.9843,100.575
99.9843,100.584
99.9844,100.593
99.9844,100.602
99.9844,100.611
99.9844,100.62
99.9844,100.629
99.9844,100.638
99.9844,100.646
99.9843,100.655
99.9843,100.664
99.9842,100.673
99.9841,100.682
99.984,100.691
99.9839,100.7
99.9837,100.708
99.9836,100.717
99.9835,100.726
99.9834,100.735
99.9833,100.744
99.9833,100.753
99.9833,100.762
99.9834,100.771
99.9835,100.78
99.9837,100.789
99.9839,100.798
99.9842,100.807
99.9845,100.816
99.9848,100.825
99.9852,100.834
99.9856,100.844
99.986,100.853
99.9864,100.863
99.9868,100.873
99.9872,100.883
99.9875,100.893
99.9878,100.903
99.9881,100.913
99.9884,100.924
99.9886,100.935
99.9887,100.946
99.9888,100.957
99.9888,100.969
99.9888,100.98
99.9887,100.992
99.9886,101.004
99.9884,101.017
99.9881,101.029
99.9877,101.042
99.9873,101.056
99.9867,101.069
99.9862,101.083
99.9855,101.097
99.9848,101.111
99.9841,101.126
99.9834,101.141
99.9826,101.156
99.9818,101.171
99.9809,101.187
99.9801,101.202
99.9792,101.218
99.9782,101.234
99.9772,101.25
99.9762,101.267
99.975,101.284
99.9738,101.3
99.9724,101.318
99.971,101.335
99.9694,101.353
99.9678,101.371
99.9661,101.389
99.9643,101.408
99.9626,101.428
99.9608,101.448
99.9591,101.468
99.9574,101.489
99.9559,101.51
99.9545,101.531
99.9533,101.553
99.9522,101.574
99.9513,101.597
99.9506,101.619
99.9501,101.641
99.9497,101.663
99.9495,101.685
99.9494,101.708
99.9494,101.73
99.9494,101.752
99.9495,101.774
99.9495,101.796
99.9495,101.819
99.9494,101.841
99.9492,101.863
99.9488,101.886
99.9481,101.909
99.9473,101.932
99.9462,101.955
99.9448,101.979
99.9432,102.003
99.9414,102.028
99.9394,102.054
99.9371,102.08
99.9347,102.107
99.9322,102.135
99.9296,102.163
99.927,102.192
99.9244,102.222
99.9218,102.252
99.9193,102.283
99.9169,102.314
99.9146,102.346
99.9125,102.378
99.9105,102.41
99.9086,102.442
99.9069,102.475
99.9052,102.508
99.9036,102.541
99.9021,102.574
99.9006,102.608
99.8991,102.641
99.8976,102.675
99.8961,102.709
99.8946,102.742
99.8932,102.776
99.8918,102.81
99.8904,102.845
99.8891,102.879
99.8878,102.914
99.8867,102.949
99.8856,102.984
99.8847,103.019
99.8839,103.055
99.8833,103.091
99.8827,103.127
99.8823,103.163
99.8821,103.2
99.8819,103.236
99.8819,103.273
99.882,103.31
99.8821,103.348
99.8823,103.385
99.8826,103.423
99.8829,103.46
99.8832,103.498
99.8836,103.535
99.884,103.573
99.8843,103.611
99.8847,103.648
99.8851,103.686
99.8855,103.724
99.886,103.761
99.8864,103.799
99.8869,103.836
99.8874,103.874
99.8878,103.911
99.8883,103.949
99.8888,103.986
99.8892,104.024
99.8896,104.062
99.89,104.099
99.8903,104.137
99.8906,104.174
99.8907,104.212
99.8908,104.25
99.8908,104.288
99.8908,104.326
99.8906,104.364
99.8904,104.403
99.8902,104.441
99.8899,104.48
99.8897,104.519
99.8895,104.558
99.8893,104.597
99.8892,104.636
99.8892,104.675
99.8894,104.714
99.8896,104.753
99.8901,104.792
99.8907,104.831
99.8914,104.871
99.8923,104.91
99.8932,104.95
99.8943,104.99
99.8954,105.03
99.8965,105.07
99.8977,105.111
99.8988,105.152
99.8998,105.193
99.9008,105.234
99.9017,105.276
99.9026,105.318
99.9033,105.36
99.9039,105.402
99.9045,105.444
99.9049,105.486
99.9052,105.529
99.9055,105.571
99.9056,105.614
99.9057,105.657
99.9057,105.699
99.9056,105.742
99.9055,105.785
99.9052,105.828
99.9049,105.871
99.9046,105.914
99.9041,105.957
99.9037,106.001
99.9031,106.044
99.9026,106.087
99.902,106.131
99.9015,106.174
99.9009,106.218
99.9004,106.261
99.8999,106.304
99.8994,106.348
99.899,106.391
99.8987,106.434
99.8984,106.477
99.8982,106.521
99.898,106.564
99.8979,106.607
99.8978,106.65
99.8977,106.692
99.8977,106.735
99.8977,106.778
99.8976,106.82
99.8976,106.863
99.8976,106.905
99.8976,106.948
99.8976,106.99
99.8977,107.032
99.8977,107.074
99.8978,107.116
99.8979,107.159
99.8981,107.201
99.8982,107.243
99.8984,107.285
99.8986,107.327
99.8989,107.368
99.8991,107.41
99.8993,107.452
99.8994,107.494
99.8995,107.535
99.8996,107.576
99.8995,107.618
99.8994,107.659
99.8992,107.7
99.899,107.741
99.8986,107.782
99.8982,107.823
99.8978,107.864
99.8973,107.905
99.8968,107.946
99.8964,107.987
99.8959,108.028
99.8955,108.069
99.8952,108.11
99.8949,108.151
99.8947,108.192
99.8946,108.234
99.8945,108.275
99.8945,108.317
99.8945,108.358
99.8945,108.4
99.8946,108.441
99.8946,108.483
99.8945,108.524
99.8944,108.566
99.8942,108.607
99.894,108.649
99.8937,108.691
99.8933,108.732
99.8928,108.774
99.8923,108.816
99.8917,108.858
99.8911,108.901
99.8906,108.943
99.89,108.985
99.8894,109.027
99.8889,109.07
99.8884,109.112
99.888,109.154
99.8877,109.197
99.8874,109.239
99.8871,109.281
99.887,109.323
99.8868,109.365
99.8868,109.407
99.8867,109.448
99.8867,109.49
99.8867,109.532
99.8866,109.573
99.8866,109.615
99.8865,109.656
99.8864,109.698
99.8862,109.739
99.8861,109.78
99.8859,109.821
99.8856,109.863
99.8854,109.904
99.8851,109.945
99.8849,109.987
99.8847,110.029
99.8845,110.07
99.8844,110.112
99.8843,110.155
99.8842,110.197
99.8843,110.24
99.8843,110.283
99.8845,110.327
99.8846,110.37
99.8848,110.414
99.8851,110.458
99.8853,110.502
99.8856,110.546
99.8858,110.59
99.886,110.635
99.8863,110.679
99.8865,110.723
99.8866,110.768
99.8868,110.812
99.8869,110.856
99.8869,110.9
99.887,110.944
99.887,110.988
99.8869,111.031
99.8869,111.075
99.8868,111.119
99.8868,111.162
99.8867,111.206
99.8866,111.249
99.8866,111.292
99.8865,111.335
99.8865,111.379
99.8864,111.422
99.8864,111.465
99.8864,111.508
99.8864,111.551
99.8864,111.593
99.8864,111.636
99.8864,111.679
99.8864,111.722
99.8863,111.764
99.8863,111.807
99.8863,111.849
99.8863,111.891
99.8863,111.933
99.8863,111.976
99.8863,112.018
99.8863,112.06
99.8863,112.102
99.8864,112.144
99.8865,112.186
99.8865,112.228
99.8866,112.271
99.8867,112.313
99.8868,112.355
99.8869,112.397
99.8869,112.439
99.8869,112.482
99.8869,112.524
99.8868,112.566
99.8867,112.608
99.8865,112.65
99.8862,112.693
99.8859,112.735
99.8856,112.777
99.8853,112.82
99.8848,112.862
99.8844,112.904
99.884,112.947
99.8835,112.99
99.883,113.032
99.8825,113.075
99.882,113.118
99.8815,113.161
99.881,113.203
99.8805,113.246
99.8801,113.289
99.8797,113.332
99.8793,113.375
99.8789,113.418
99.8787,113.46
99.8784,113.503
99.8783,113.546
99.8782,113.589
99.8782,113.631
99.8782,113.674
99.8783,113.716
99.8784,113.758
99.8786,113.801
99.8788,113.843
99.8789,113.885
99.8791,113.927
99.8793,113.969
99.8793,114.011
99.8794,114.054
99.8793,114.096
99.8792,114.138
99.879,114.18
99.8787,114.223
99.8782,114.266
99.8777,114.309
99.877,114.352
99.8762,114.395
99.8753,114.439
99.8742,114.483
99.873,114.527
99.8717,114.571
99.8703,114.617
99.8688,114.662
99.8672,114.708
99.8655,114.755
99.8638,114.802
99.8621,114.849
99.8604,114.897
99.8587,114.945
99.8571,114.994
99.8556,115.043
99.8542,115.093
99.8529,115.143
99.8517,115.193
99.8507,115.243
99.8498,115.293
99.8489,115.344
99.8482,115.394
99.8475,115.444
99.8469,115.495
99.8462,115.545
99.8455,115.595
99.8448,115.646
99.8441,115.696
99.8433,115.746
99.8425,115.797
99.8417,115.847
99.8409,115.898
99.8401,115.948
99.8394,115.999
99.8388,116.05
99.8383,116.101
99.8379,116.153
99.8376,116.205
99.8374,116.257
99.8374,116.31
99.8375,116.364
99.8377,116.418
99.8381,116.473
99.8385,116.528
99.839,116.584
99.8396,116.641
99.8401,116.698
99.8407,116.756
99.8413,116.815
99.8418,116.874
99.8423,116.933
