t1,t2,y1,x1,y2,x2, Wave Height(meters),delta_t(sec),delta_d(m),avg_speed(m/s)
2011-11-18 02:30:00,2011-11-18 03:00:00,37.4466,-122.8585,37.4401,-122.8633,1.75,1800,837.17018086281,0.465094544923783
2011-11-18 17:00:00,2011-11-18 18:30:00,37.368,-122.8707,37.3587,-122.8919,2.85,5400,2142.97518064604,0.396847255675193
2011-11-18 20:30:00,2011-11-18 21:00:00,37.3562,-122.8748,37.3545,-122.8833,3.2,1800,776.339261872893,0.431299589929385
2011-11-18 23:00:00,2011-11-18 23:30:00,37.3623,-122.8703,37.3562,-122.8748,3.25,1800,785.662391106239,0.436479106170133
2011-11-18 23:30:00,2011-11-19 00:30:00,37.3562,-122.8748,37.3414,-122.8746,3.65,3600,1642.66161209197,0.45629489224777
2011-11-19 10:30:00,2011-11-19 11:00:00,37.1251,-122.7408,37.1178,-122.7362,4.8,1800,907.450966201053,0.504139425667251
2011-11-19 18:30:00,2011-11-19 19:00:00,36.98,-122.6515,36.9788,-122.6416,4.85,1800,891.45653176701,0.49525362875945
2011-11-22 23:30:00,2011-11-23 00:00:00,36.8135,-122.1741,36.8115,-122.1662,1.35,1800,739.030646659545,0.410572581477525
2011-11-23 04:00:00,2011-11-23 04:30:00,36.8081,-122.1487,36.8054,-122.1392,1.55,1800,899.139293668078,0.499521829815599
2011-12-02 12:30:00,2011-12-02 13:00:00,36.7793,-122.0847,36.7822,-122.093,2.05,1800,807.788242008093,0.448771245560052
2011-12-03 00:00:00,2011-12-03 00:30:00,36.7757,-122.0884,36.7755,-122.0786,2.5,1800,875.152600082935,0.486195888934964
2011-12-03 09:30:00,2011-12-03 10:00:00,36.7785,-122.0821,36.7814,-122.0908,2.3,1800,840.666591222541,0.467036995123634
2011-12-03 20:00:00,2011-12-03 20:30:00,36.7955,-122.132,36.7982,-122.1399,2,1800,766.084392494971,0.425602440274984
2011-12-03 22:30:00,2011-12-03 23:00:00,36.8072,-122.1668,36.8011,-122.1629,2.15,1800,761.16818754113,0.422871215300628
2011-12-04 03:30:00,2011-12-04 04:00:00,36.7846,-122.1004,36.7877,-122.1093,1.55,1800,865.705964970836,0.480947758317131
2011-12-04 22:00:00,2011-12-04 22:30:00,36.7842,-122.1214,36.7821,-122.1136,1.6,1800,734.223761156034,0.40790208953113
2011-12-04 22:30:00,2011-12-04 23:00:00,36.7821,-122.1136,36.7795,-122.1041,1.6,1800,895.772644302596,0.497651469056998
2011-12-05 00:30:00,2011-12-05 01:00:00,36.7781,-122.0812,36.7812,-122.09,1.85,1800,857.582923195834,0.476434957331019
2011-12-05 01:30:00,2011-12-05 02:00:00,36.7845,-122.0999,36.7876,-122.1089,1.65,1800,873.90511380908,0.485502841005045
2011-12-05 02:00:00,2011-12-05 02:30:00,36.7876,-122.1089,36.7906,-122.1179,1.65,1800,869.56705747815,0.483092809710083
2011-12-05 02:30:00,2011-12-05 03:00:00,36.7906,-122.1179,36.7937,-122.1269,1.9,1800,873.846715033874,0.485470397241041
2011-12-05 03:00:00,2011-12-05 03:30:00,36.7937,-122.1269,36.7968,-122.136,2.2,1800,882.028232817904,0.490015684898835
2011-12-05 03:30:00,2011-12-05 04:00:00,36.7968,-122.136,36.7993,-122.1434,2.15,1800,716.331076960393,0.397961709422441
2011-12-05 06:30:00,2011-12-05 07:00:00,36.8045,-122.1691,36.8007,-122.1619,1.65,1800,768.560653572427,0.426978140873571
2011-12-08 07:30:00,2011-12-08 08:00:00,36.7628,-121.9599,36.7696,-121.9542,0.95,1800,910.188913551337,0.505660507528521
2011-12-08 08:00:00,2011-12-08 08:30:00,36.7696,-121.9542,36.7722,-121.945,0.95,1800,870.562158162534,0.48364564342363
2011-12-08 12:00:00,2011-12-08 12:30:00,36.7722,-121.9487,36.7695,-121.9394,0.9,1800,882.695815439632,0.490386564133129
2011-12-08 16:00:00,2011-12-08 16:30:00,36.7713,-121.9431,36.7677,-121.9354,0.85,1800,795.107114362388,0.441726174645771
2011-12-08 16:30:00,2011-12-08 17:00:00,36.7677,-121.9354,36.7602,-121.9339,0.8,1800,843.005887219002,0.468336604010557
2011-12-08 17:00:00,2011-12-08 17:30:00,36.7602,-121.9339,36.7534,-121.9372,0.85,1800,810.10990429833,0.450061057943517
2011-12-08 19:30:00,2011-12-08 20:00:00,36.7714,-121.9507,36.7705,-121.9414,0.8,1800,836.270507595846,0.464594726442137
2011-12-08 20:00:00,2011-12-08 20:30:00,36.7705,-121.9414,36.7664,-121.9338,0.75,1800,816.961110054925,0.453867283363847
2011-12-09 01:00:00,2011-12-09 01:30:00,36.7552,-121.9576,36.7606,-121.9504,0.85,1800,878.885562006164,0.488269756670091
2011-12-10 02:00:00,2011-12-10 02:30:00,36.7578,-121.9547,36.7545,-121.9623,1.3,1800,771.146368422082,0.428414649123379
2011-12-10 02:30:00,2011-12-10 03:00:00,36.7545,-121.9623,36.7512,-121.9706,1.3,1800,826.716386691631,0.459286881495351
2011-12-10 03:00:00,2011-12-10 03:30:00,36.7512,-121.9706,36.748,-121.978,1.25,1800,750.210015741815,0.416783342078786
2011-12-10 03:30:00,2011-12-10 04:00:00,36.748,-121.978,36.7447,-121.9858,1.2,1800,786.986929433319,0.437214960796288
2011-12-10 04:00:00,2011-12-10 04:30:00,36.7447,-121.9858,36.7409,-121.9948,1.55,1800,907.697596565706,0.504276442536503
2011-12-10 05:30:00,2011-12-10 06:00:00,36.7334,-122.0162,36.734,-122.0262,1.75,1800,895.689512084687,0.497605284491493
2011-12-10 06:00:00,2011-12-10 06:30:00,36.734,-122.0262,36.7377,-122.0342,1.5,1800,824.118862241027,0.457843812356126
2011-12-10 06:30:00,2011-12-10 07:00:00,36.7377,-122.0342,36.7438,-122.0396,1.7,1800,831.169825053043,0.461761013918357
2011-12-10 07:00:00,2011-12-10 07:30:00,36.7438,-122.0396,36.7464,-122.0493,1.8,1800,913.072865780688,0.507262703211493
2011-12-10 08:30:00,2011-12-10 09:00:00,36.7514,-122.0693,36.7537,-122.0785,1.35,1800,860.28855586801,0.477938086593339
2011-12-10 09:30:00,2011-12-10 10:00:02,36.7562,-122.0883,36.7542,-122.0979,1.6,1802,885.50930713641,0.491403611063491
2011-12-10 10:00:02,2011-12-10 10:30:00,36.7542,-122.0979,36.7521,-122.1073,1.5,1798,871.156045505168,0.484513929646923
2011-12-10 10:30:00,2011-12-10 11:00:00,36.7521,-122.1073,36.7499,-122.1169,1.55,1800,891.37611782568,0.4952089543476
2011-12-11 01:30:00,2011-12-11 02:00:00,36.7074,-122.3082,36.7055,-122.3168,2.6,1800,796.834899373228,0.442686055207349
2011-12-11 02:30:00,2011-12-11 03:00:00,36.7039,-122.3241,36.7009,-122.3319,2,1800,772.414888241765,0.429119382356536
2011-12-11 06:00:00,2011-12-11 06:30:00,36.7036,-122.3545,36.7118,-122.3548,2.35,1800,910.366535424487,0.505759186346937
2011-12-11 16:30:00,2011-12-11 17:00:00,36.7191,-122.3217,36.7261,-122.325,2.2,1800,830.865607028758,0.461592003904866
2011-12-11 17:30:00,2011-12-11 18:00:00,36.7355,-122.3176,36.7391,-122.3098,1.85,1800,803.090224406259,0.446161235781255
2011-12-11 19:30:00,2011-12-11 20:00:00,36.7456,-122.3039,36.7497,-122.2957,1.8,1800,862.136449124538,0.478964693958077
2011-12-15 03:00:00,2011-12-15 03:30:00,36.5408,-122.9868,36.5387,-122.9958,2,1800,838.923306340829,0.466068503522683
2011-12-15 10:30:00,2011-12-15 11:00:00,36.5205,-123.0676,36.5238,-123.0599,1.8,1800,780.848246897797,0.433804581609887
2011-12-15 11:30:00,2011-12-15 12:00:00,36.5216,-123.067,36.5192,-123.0756,2,1800,815.022820003323,0.452790455557402
2011-12-15 13:30:00,2011-12-15 14:00:00,36.5226,-123.0634,36.5201,-123.0719,1.8,1800,810.286189074435,0.450158993930242
2011-12-16 03:30:00,2011-12-16 04:00:00,36.5215,-123.0673,36.5179,-123.0765,2.95,1800,915.758849071725,0.508754916150958
2011-12-16 04:30:00,2011-12-16 05:00:00,36.5219,-123.0627,36.5208,-123.0707,3.5,1800,726.854930951483,0.403808294973046
2011-12-17 08:30:00,2011-12-17 09:00:00,36.2966,-123.8522,36.2943,-123.8599,1.9,1800,737.246288634946,0.409581271463859
2011-12-17 09:00:00,2011-12-17 09:30:00,36.2943,-123.8599,36.2921,-123.8681,2.2,1800,775.995359752394,0.431108533195774
2011-12-17 15:00:00,2011-12-17 15:30:00,36.2681,-123.8843,36.2634,-123.8915,2.05,1800,831.020263005124,0.461677923891736
2011-12-17 16:30:00,2011-12-17 17:00:00,36.2539,-123.9016,36.249,-123.9071,2.05,1800,734.838137772837,0.408243409873798
2011-12-18 03:00:00,2011-12-18 03:30:00,36.2155,-123.9967,36.2134,-124.005,2.85,1800,781.859154075968,0.434366196708871
2011-12-18 03:30:00,2011-12-18 04:00:00,36.2134,-124.005,36.2109,-124.014,2.4,1800,855.518515520939,0.475288064178299
2011-12-18 04:00:00,2011-12-18 04:30:00,36.2109,-124.014,36.2084,-124.0235,2.65,1800,898.194173979012,0.498996763321673
2011-12-18 04:30:00,2011-12-18 05:00:00,36.2084,-124.0235,36.2059,-124.0325,2.35,1800,855.567141853564,0.475315078807536
2011-12-18 05:00:00,2011-12-18 05:30:00,36.2059,-124.0325,36.2036,-124.0411,2.3,1800,814.419702545567,0.452455390303093
2011-12-18 05:30:00,2011-12-18 06:00:00,36.2036,-124.0411,36.2014,-124.0494,2.45,1800,785.345389946904,0.436302994414947
2011-12-18 06:00:00,2011-12-18 06:30:00,36.2014,-124.0494,36.1992,-124.0577,2.75,1800,785.365213917215,0.436314007731786
2011-12-18 06:30:00,2011-12-18 07:00:00,36.1992,-124.0577,36.1971,-124.0656,2.75,1800,747.742768295726,0.415412649053181
2011-12-18 08:30:00,2011-12-18 09:00:00,36.1917,-124.0852,36.1896,-124.0935,2.5,1800,782.074572485247,0.434485873602915
2011-12-18 09:00:00,2011-12-18 09:30:00,36.1896,-124.0935,36.1872,-124.1023,2.4,1800,835.147131876033,0.463970628820018
2011-12-18 09:30:00,2011-12-18 10:00:00,36.1872,-124.1023,36.1851,-124.1101,2.65,1800,739.303625691757,0.410724236495421
2011-12-18 10:00:00,2011-12-18 10:30:00,36.1851,-124.1101,36.1831,-124.1177,2.4,1800,718.766279187354,0.39931459954853
2011-12-18 10:30:00,2011-12-18 11:00:00,36.1831,-124.1177,36.1809,-124.1256,2.7,1800,751.412494509923,0.417451385838846
2011-12-18 11:30:00,2011-12-18 12:00:00,36.179,-124.133,36.1769,-124.1407,2.65,1800,730.840807433306,0.406022670796281
2011-12-18 12:30:00,2011-12-18 13:00:00,36.175,-124.1479,36.1728,-124.1557,2.75,1800,742.978702540593,0.412765945855885
2011-12-18 14:30:00,2011-12-18 15:00:00,36.1674,-124.1761,36.165,-124.1849,3.75,1800,835.358492474803,0.46408805137489
2011-12-18 15:00:00,2011-12-18 15:30:00,36.165,-124.1849,36.1627,-124.1935,3.35,1800,814.801078406552,0.452667265781418
2011-12-18 16:30:00,2011-12-18 17:00:00,36.1574,-124.213,36.1551,-124.2222,3.2,1800,866.311915532037,0.481284397517798
2011-12-18 17:00:00,2011-12-18 17:30:00,36.1551,-124.2222,36.1526,-124.2309,3.45,1800,830.591379675885,0.461439655375491
2011-12-18 17:30:00,2011-12-18 18:00:00,36.1526,-124.2309,36.1502,-124.2399,4.15,1800,852.578091358209,0.473654495199005
2011-12-18 18:00:00,2011-12-18 18:30:00,36.1502,-124.2399,36.1478,-124.249,4.3,1800,861.155206442866,0.478419559134926
2011-12-25 12:00:00,2011-12-25 12:30:00,34.8975,-128.8786,34.895,-128.8858,2,1800,714.157700584371,0.396754278102428
2011-12-25 12:30:00,2011-12-25 13:00:00,34.895,-128.8858,34.8926,-128.8932,2,1800,726.920219237566,0.403844566243092
2011-12-25 13:00:00,2011-12-25 13:30:00,34.8926,-128.8932,34.8899,-128.9012,1.9,1800,790.238522085581,0.439021401158656
2011-12-25 13:30:00,2011-12-25 14:00:00,34.8899,-128.9012,34.8871,-128.9097,1.9,1800,836.791212813757,0.464884007118754
2011-12-25 14:00:00,2011-12-25 14:30:00,34.8871,-128.9097,34.8845,-128.9176,1.75,1800,777.648626541716,0.432027014745398
2011-12-30 23:30:00,2011-12-31 00:00:00,34.6017,-129.8104,34.599,-129.8183,2.85,1800,784.125011393061,0.435625006329478
2011-12-31 00:00:00,2011-12-31 00:30:00,34.599,-129.8183,34.5959,-129.8273,2.75,1800,894.355926964014,0.496864403868896
2011-12-31 00:30:00,2011-12-31 01:00:00,34.5959,-129.8273,34.5929,-129.8365,2.9,1800,907.219979774434,0.504011099874685
2011-12-31 04:00:00,2011-12-31 04:30:00,34.5727,-129.8959,34.5697,-129.9048,2.85,1800,881.885117314005,0.489936176285558
2011-12-31 04:30:00,2011-12-31 05:00:00,34.5697,-129.9048,34.5666,-129.9137,2.75,1800,886.158369671705,0.492310205373169
2011-12-31 05:00:00,2011-12-31 05:30:00,34.5666,-129.9137,34.5638,-129.9222,2.8,1800,839.60032138589,0.466444622992161
2011-12-31 05:30:00,2011-12-31 06:00:00,34.5638,-129.9222,34.5612,-129.9298,2.95,1800,754.746858945628,0.419303810525349
