y1,x1,wave_ht,tuning_factor
37.4466,-122.859,1.75,0.0765288
37.368,-122.871,2.85,0.0248321
37.3562,-122.875,3.2,0.0688013
37.3623,-122.87,3.25,0.14724
37.3562,-122.875,3.65,0.0349603
37.1251,-122.741,4.8,0.0729504
36.98,-122.651,4.85,0.0917143
36.8135,-122.174,1.35,0.0646284
36.8081,-122.149,1.55,0.0834437
36.7793,-122.085,2.05,0.0722338
36.7757,-122.088,2.5,0.0921203
36.7785,-122.082,2.3,0.0639302
36.7955,-122.132,2,0.075423
36.8072,-122.167,2.15,0.052374
36.7846,-122.1,1.55,0.0680787
36.7842,-122.121,1.6,0.0680787
36.7821,-122.114,1.6,0.0811295
36.7781,-122.081,1.85,0.0797464
36.7845,-122.1,1.65,0.0855077
36.7876,-122.109,1.65,0.0799045
36.7906,-122.118,1.9,0.0868439
36.7937,-122.127,2.2,0.0932036
36.7968,-122.136,2.15,0.0723336
36.8045,-122.169,1.65,0.0638479
36.7628,-121.96,0.95,0.0936609
36.7696,-121.954,0.95,0.0882783
36.7722,-121.949,0.9,0.113663
36.7713,-121.943,0.85,0.106972
36.7677,-121.935,0.8,0.0931109
36.7602,-121.934,0.85,0.116054
36.7714,-121.951,0.8,0.100106
36.7705,-121.941,0.75,0.378038
36.7552,-121.958,0.85,0.0875679
36.7578,-121.955,1.3,0.0652311
36.7545,-121.962,1.3,0.0720151
36.7512,-121.971,1.25,0.0690206
36.748,-121.978,1.2,0.0720579
36.7447,-121.986,1.55,0.0856745
36.7334,-122.016,1.75,0.0856745
36.734,-122.026,1.5,0.0743237
36.7377,-122.034,1.7,0.0734002
36.7438,-122.04,1.8,0.0950145
36.7514,-122.069,1.35,0.0853423
36.7562,-122.088,1.6,0.0853423
36.7542,-122.098,1.5,0.0853423
36.7521,-122.107,1.55,0.0742642
36.7074,-122.308,2.6,0.0558089
36.7039,-122.324,2,0.05143
36.7036,-122.355,2.35,0.0665031
36.7191,-122.322,2.2,0.0859612
36.7355,-122.318,1.85,0.0778767
36.7456,-122.304,1.8,0.0834152
36.5408,-122.987,2,0.0824372
36.5205,-123.068,1.8,0.0752558
36.5216,-123.067,2,0.0832491
36.5226,-123.063,1.8,0.070504
36.5215,-123.067,2.95,0.074251
36.5219,-123.063,3.5,0.0893836
36.2966,-123.852,1.9,0.0705038
36.2943,-123.86,2.2,0.0827765
36.2681,-123.884,2.05,0.0830598
36.2539,-123.902,2.05,0.0664143
36.2155,-123.997,2.85,0.0542956
36.2134,-124.005,2.4,0.0628314
36.2109,-124.014,2.65,0.0983593
36.2084,-124.023,2.35,0.0820353
36.2059,-124.032,2.3,0.0821874
36.2036,-124.041,2.45,0.0640739
36.2014,-124.049,2.75,0.0591695
36.1992,-124.058,2.75,0.0577285
36.1917,-124.085,2.5,0.08112
36.1896,-124.094,2.4,0.0884242
36.1872,-124.102,2.65,0.0893939
36.1851,-124.11,2.4,0.0813305
36.1831,-124.118,2.7,0.0813305
36.179,-124.133,2.65,0.0794356
36.175,-124.148,2.75,0.0813059
36.1674,-124.176,3.75,0.0813059
36.165,-124.185,3.35,0.066476
36.1574,-124.213,3.2,0.135175
36.1551,-124.222,3.45,0.102695
36.1526,-124.231,4.15,0.127086
36.1502,-124.24,4.3,0.0630429
34.8975,-128.879,2,0.0663843
34.895,-128.886,2,0.0738277
34.8926,-128.893,1.9,0.0820681
34.8899,-128.901,1.9,0.0820681
34.8871,-128.91,1.75,0.0686875
34.6017,-129.81,2.85,0.0655149
34.599,-129.818,2.75,0.120926
34.5959,-129.827,2.9,0.152742
34.5727,-129.896,2.85,0.0996288
34.5697,-129.905,2.75,0.0898557
34.5666,-129.914,2.8,0.102509
34.5638,-129.922,2.95,0.0574689
34.5365,-130.002,2.8,0.118542
34.3254,-130.623,2.6,0.101437
34.309,-130.67,2.55,0.136092
34.0559,-131.41,2.6,0.0841959
34.0539,-131.419,2.7,0.0841959
34.0341,-131.479,2.6,0.0527645
34.0315,-131.486,2.55,0.0798397
34.029,-131.494,2.55,0.0650313
33.9126,-131.84,3.8,0.140431
33.9096,-131.848,3.95,0.0514881
33.9004,-131.876,3.75,0.0955118
33.898,-131.883,3.3,0.120869
33.8951,-131.891,4.15,0.0726322
33.8925,-131.899,4,0.125405
33.8898,-131.907,3.2,0.0776481
33.8869,-131.916,3.6,0.0702716
33.8838,-131.925,3.6,0.151107
33.8807,-131.934,3.6,0.133624
32.8946,-134.601,3.45,0.0652061
32.8916,-134.609,3.65,0.0619303
32.8887,-134.617,2.9,0.0644319
32.8856,-134.625,2.9,0.0629009
32.8825,-134.632,3.2,0.0588221
32.8795,-134.64,3.35,0.0604449
32.8766,-134.648,3.25,0.0670628
32.8737,-134.655,2.9,0.0841422
32.8609,-134.688,2.45,0.0593032
32.8582,-134.695,2.45,0.0945714
28.9317,-143.886,2.1,0.084026
28.9279,-143.893,2.2,0.0731348
28.9243,-143.901,2.35,0.0710757
28.921,-143.907,2.15,0.0445701
28.9179,-143.914,2.15,0.0869876
28.9141,-143.922,2.35,0.0693066
28.9061,-143.938,2.4,0.0965637
28.8573,-144.039,3.25,0.140993
28.8534,-144.047,3.05,0.115953
28.8454,-144.064,3.3,0.137442
28.8418,-144.071,3.3,0.0647656
28.8385,-144.078,3.25,0.0725676
28.835,-144.085,3.55,0.0670271
28.8314,-144.093,3.35,0.0648588
28.8237,-144.109,3.95,0.0698095
28.8201,-144.116,3.75,0.0588464
28.8166,-144.123,3.75,0.0771855
28.3678,-145.045,2.25,0.0529927
28.3646,-145.052,2.4,0.0536541
28.3611,-145.059,2.45,0.0833635
28.3577,-145.066,2.4,0.0587345
28.3541,-145.073,2.5,0.0646226
28.3504,-145.081,2.3,0.0830665
28.3335,-145.116,2.4,0.102423
28.3294,-145.124,2.35,0.0831973
28.3215,-145.136,2.55,0.0549799
28.3184,-145.144,2.5,0.0924829
28.3149,-145.152,2.5,0.0954347
28.3115,-145.159,2.5,0.0831532
28.3086,-145.167,2.35,0.0534706
28.2689,-145.261,2.15,0.0758255
28.2659,-145.267,2.25,0.069612
28.2335,-145.344,1.7,0.0634959
28.2307,-145.351,1.75,0.0604069
28.2278,-145.358,1.85,0.278884
28.183,-145.463,2.05,0.0699473
28.1294,-145.59,3.15,0.0960132
