y1,x1,wave_ht,tuning_factor
500,500,1.9,0.0366924
500,500,1.6,0.0318142
500,500,1.9,0.0406718
500,500,1.5,0.047003
500,500,2.6,0.0402811
500,500,2,0.0199842
500,500,2.8,0.0198276
500,500,3.1,0.0184254
500,500,2.8,0.0237589
500,500,3.6,0.0131028
500,500,3.3,0.0219258
500,500,3.2,0.0238277
500,500,4.4,0.030139
500,500,4.7,0.0262467
500,500,4.9,0.0232688
500,500,5.5,0.0192749
500,500,4.1,0.0279345
500,500,5,0.0257877
500,500,4.7,0.0288667
500,500,4.3,0.0305865
500,500,5.4,0.0190222
500,500,4.3,0.0320074
500,500,3.4,0.0311259
500,500,3.4,0.0151594
500,500,1.6,0.0155416
500,500,1.2,0.0215111
500,500,1.2,0.0291159
500,500,1.5,0.0211093
500,500,1.3,0.015661
500,500,1.6,0.0367949
500,500,1.5,0.0422719
500,500,1.7,0.0396535
500,500,2.6,0.0178171
500,500,2,0.0264369
500,500,2.1,0.0212158
500,500,1.6,0.0184056
500,500,2.2,0.0309041
500,500,2.2,0.0293594
500,500,2.6,0.0176917
500,500,2,0.0241882
500,500,2,0.0175
500,500,2.5,0.0181112
500,500,2.6,0.0164683
500,500,2.7,0.0184674
500,500,2.1,0.0244463
500,500,1.6,0.0512884
500,500,1.7,0.0441681
500,500,1.8,0.0473628
500,500,1.6,0.0339585
500,500,1.5,0.015644
500,500,1.7,0.0201437
500,500,1.7,0.0198953
500,500,2,0.0455836
500,500,1.5,0.0260354
500,500,1.7,0.0352444
500,500,1.5,0.0472672
500,500,1.9,0.0307019
500,500,1.8,0.0388009
500,500,1.8,0.032956
500,500,1.5,0.0359064
500,500,1.8,0.0329175
500,500,2,0.0313476
500,500,2.4,0.0217546
500,500,1.9,0.0132163
500,500,1.7,0.0269857
500,500,1.6,0.0157293
500,500,2.1,0.0156187
500,500,1.5,0.0212679
500,500,0.9,0.0636295
500,500,0.9,0.0595669
500,500,0.9,0.0499671
500,500,1,0.0448168
500,500,0.9,0.0646924
500,500,0.9,0.0620584
500,500,0.9,0.0625998
500,500,0.8,0.0565494
500,500,0.7,0.0690628
500,500,0.8,0.0676446
500,500,0.9,0.0477177
500,500,0.9,0.0511659
500,500,0.9,0.0609811
500,500,0.9,0.0671913
500,500,0.9,0.0534452
500,500,0.9,0.0293273
500,500,0.9,0.038201
500,500,0.8,0.0438764
500,500,0.8,0.0411675
