Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds),t1,t2,x1,y1,x2,y2,delta_t(sec),delta_d(m),avg_speed(m/s)
2011-11-18 02:00:00,37.4538,-122.8531,1.9,50,8.9,9.8,2011-11-18 02:00:00,2011-11-18 02:30:00,-122.8531,37.4538,-122.8585,37.4466,1800.0,931.0570379004887,0.517253909944716
2011-11-18 02:30:00,37.4466,-122.8585,1.6,64,7.8,11.6,2011-11-18 02:30:00,2011-11-18 03:00:00,-122.8585,37.4466,-122.8633,37.4401,1800.0,837.1701808628101,0.4650945449237834
2011-11-18 03:00:00,37.4401,-122.8633,1.9,54,9.4,9.1,2011-11-18 03:00:00,2011-11-18 03:30:00,-122.8633,37.4401,-122.8689,37.4324,1800.0,987.9008901950148,0.5488338278861193
2011-11-18 04:30:00,37.4144,-122.8815,1.5,60,6.6,10.7,2011-11-18 04:30:00,2011-11-18 05:00:00,-122.8815,37.4144,-122.8872,37.4066,1800.0,1002.0275451190502,0.5566819695105835
2011-11-18 05:00:00,37.4066,-122.8872,2.6,78,9.9,12.8,2011-11-18 05:00:00,2011-11-18 05:30:00,-122.8872,37.4066,-122.8928,37.3986,1800.0,1016.9445286680035,0.5649691825933353
2011-11-18 05:30:00,37.3986,-122.8928,2.0,46,8.0,9.8,2011-11-18 05:30:00,2011-11-18 06:00:00,-122.8928,37.3986,-122.8985,37.3944,1800.0,687.041640311049,0.381689800172805
2011-11-18 17:00:00,37.368,-122.8707,2.8,154,8.7,14.2,2011-11-18 17:00:00,2011-11-18 18:30:00,-122.8707,37.368,-122.8919,37.3587,5400.0,2142.9751806460413,0.39684725567519286
2011-11-18 20:00:00,37.3614,-122.8703,3.1,61,8.6,25.6,2011-11-18 20:00:00,2011-11-18 20:30:00,-122.8703,37.3614,-122.8748,37.3562,1800.0,701.4256314350562,0.389680906352809
2011-11-18 20:30:00,37.3562,-122.8748,2.8,15,8.4,18.3,2011-11-18 20:30:00,2011-11-18 21:00:00,-122.8748,37.3562,-122.8833,37.3545,1800.0,776.3392618728925,0.4312995899293847
2011-11-18 21:00:00,37.3545,-122.8833,3.6,48,8.4,10.7,2011-11-18 21:00:00,2011-11-18 22:30:00,-122.8833,37.3545,-122.8769,37.3707,5400.0,1885.2211877208094,0.34911503476311284
2011-11-18 23:00:00,37.3623,-122.8703,3.3,68,8.7,14.2,2011-11-18 23:00:00,2011-11-18 23:30:00,-122.8703,37.3623,-122.8748,37.3562,1800.0,785.662391106239,0.4364791061701328
2011-11-18 23:30:00,37.3562,-122.8748,3.2,54,8.8,14.2,2011-11-18 23:30:00,2011-11-19 00:30:00,-122.8748,37.3562,-122.8746,37.3414,3600.0,1642.6616120919712,0.45629489224776976
2011-11-19 09:00:00,37.1491,-122.7556,4.4,83,9.4,14.2,2011-11-19 09:00:00,2011-11-19 09:30:00,-122.7556,37.1491,-122.7505,37.1407,1800.0,1036.5127657384758,0.5758404254102644
2011-11-19 09:30:00,37.1407,-122.7505,4.7,48,9.0,11.6,2011-11-19 09:30:00,2011-11-19 10:00:00,-122.7505,37.1407,-122.7454,37.1328,1800.0,986.924530494783,0.548291405830435
2011-11-19 10:00:00,37.1328,-122.7454,4.9,41,9.3,11.6,2011-11-19 10:00:00,2011-11-19 10:30:00,-122.7454,37.1328,-122.7408,37.1251,1800.0,947.277883749247,0.526265490971804
2011-11-19 10:30:00,37.1251,-122.7408,5.5,45,12.0,14.2,2011-11-19 10:30:00,2011-11-19 11:00:00,-122.7408,37.1251,-122.7362,37.1178,1800.0,907.4509662010526,0.5041394256672515
2011-11-19 11:00:00,37.1178,-122.7362,4.1,40,9.4,16.0,2011-11-19 11:00:00,2011-11-19 11:30:00,-122.7362,37.1178,-122.7316,37.1099,1800.0,967.3807734989367,0.5374337630549648
2011-11-19 11:30:00,37.1099,-122.7316,5.0,42,10.4,16.0,2011-11-19 11:30:00,2011-11-19 12:00:00,-122.7316,37.1099,-122.7264,37.1018,1800.0,1010.8065328107148,0.5615591848948416
2011-11-19 12:00:00,37.1018,-122.7264,4.7,41,9.9,14.2,2011-11-19 12:00:00,2011-11-19 12:30:00,-122.7264,37.1018,-122.7213,37.0933,1800.0,1046.6209788980523,0.5814560993878068
2011-11-19 12:30:00,37.0933,-122.7213,4.3,35,10.4,16.0,2011-11-19 12:30:00,2011-11-19 13:00:00,-122.7213,37.0933,-122.716,37.085,1800.0,1034.657770092307,0.5748098722735039
2011-11-19 18:30:00,36.98,-122.6515,5.4,36,11.0,21.3,2011-11-19 18:30:00,2011-11-19 19:00:00,-122.6515,36.98,-122.6416,36.9788,1800.0,891.4565317670102,0.4952536287594501
2011-11-19 19:00:00,36.9788,-122.6416,4.3,50,9.1,14.2,2011-11-19 19:00:00,2011-11-19 20:30:00,-122.6416,36.9788,-122.6065,36.9861,5400.0,3228.330066042248,0.5978389011189348
