Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-18 02:00:00, 37.4538, -122.8531,  1.9,  50,  8.9,  9.8
2011-11-18 02:30:00, 37.4466, -122.8585,  1.6,  64,  7.8, 11.6
2011-11-18 03:00:00, 37.4401, -122.8633,  1.9,  54,  9.4,  9.1
2011-11-18 03:30:00, 37.4324, -122.8689,  1.6,  63,  8.2,  9.1
2011-11-18 04:00:00, 37.4233, -122.8754,  1.9,  47,  8.4,  8.5
2011-11-18 04:30:00, 37.4144, -122.8815,  1.5,  60,  6.6, 10.7
2011-11-18 05:00:00, 37.4066, -122.8872,  2.6,  78,  9.9, 12.8
2011-11-18 05:30:00, 37.3986, -122.8928,  2.0,  46,  8.0,  9.8
2011-11-18 06:00:00, 37.3944, -122.8985,  2.1,  62,  7.7, 10.7
2011-11-18 06:30:00, 37.3935, -122.8982,  1.4,  58,  7.3, 10.7
2011-11-18 07:00:00, 37.3941, -122.8966,  1.8,  55,  8.6, 10.7
2011-11-18 07:30:00, 37.3938, -122.8988,  1.5,  40,  7.3,  8.5
2011-11-18 08:00:00, 37.3934, -122.8968,  1.7,  39,  8.5,  9.1
2011-11-18 08:30:00, 37.3944, -122.8984,  2.0,  55,  9.3,  8.0
2011-11-18 09:00:00, 37.3935, -122.8976,  1.6,  66,  8.9, 11.6
2011-11-18 09:30:00, 37.3944, -122.8971,  1.9,  49,  7.8, 10.7
2011-11-18 10:00:00, 37.3920, -122.8965,  1.7,  51,  8.4, 11.6
2011-11-18 10:30:00, 37.3899, -122.8962,  1.8,  54,  8.4,  9.1
2011-11-18 11:00:00, 37.3899, -122.8975,  1.8,  41,  9.0, 12.8
2011-11-18 11:30:00, 37.3905, -122.8987,  1.9,  39,  8.0,  9.8
2011-11-18 12:00:00, 37.3900, -122.8964,  1.4,  18,  8.0, 11.6
2011-11-18 12:30:00, 37.3899, -122.8983,  2.0,  55,  9.7, 10.7
2011-11-18 13:00:00, 37.3907, -122.8971,  2.0,  26,  9.3, 11.6
2011-11-18 13:30:00, 37.3898, -122.8986,  1.8,  46,  7.8, 11.6
2011-11-18 14:00:00, 37.3899, -122.8966,  2.6,  42,  8.7, 11.6
2011-11-18 14:30:00, 37.3898, -122.8989,  2.1,  46,  9.3,  9.8
2011-11-18 15:00:00, 37.3898, -122.8972,  2.0,  29,  9.2, 10.7
2011-11-18 15:30:00, 37.3905, -122.8972,  1.7,  49,  7.7, 11.6
2011-11-18 16:00:00, 37.3819, -122.8895,  2.1,  40,  9.4, 11.6
2011-11-18 16:30:00, 37.3739, -122.8820,  2.5,  46,  8.5, 11.6
2011-11-18 17:00:00, 37.3680, -122.8707,  2.8, 154,  8.7, 14.2
